Entity,Year,Renewable Energy Percentage
Cyprus,2015,8.81057268722467
Cyprus,2016,8.793456032719838
Cyprus,2017,8.6
Cyprus,2018,9.486166007905137
Cyprus,2019,10.097087378640776
Cyprus,2020,12.371134020618557
Czech Republic,2010,6.9333646175504455
Czech Republic,2011,8.353524864428291
Czech Republic,2012,9.317630758572914
Czech Republic,2013,10.82150337444729
Czech Republic,2014,10.786966239265967
Czech Republic,2015,11.403296170625303
Czech Republic,2016,11.449823192293623
Czech Republic,2017,11.226393098624389
Czech Republic,2018,10.856550771356204
Czech Republic,2019,11.752360965372509
Czech Republic,2020,12.963194011228948
Denmark,2010,31.97838950347311
Denmark,2011,40.2328222600795
Denmark,2012,48.33876221498372
Denmark,2013,45.9412780656304
Denmark,2014,55.886921404162784
Denmark,2015,65.43380573798825
Denmark,2016,60.196399345335514
Denmark,2017,70.25459233000322
Denmark,2018,68.34650856389986
Denmark,2019,78.17688919010504
Denmark,2020,81.62199791159067
Estonia,2010,8.095605242868158
Estonia,2011,9.154383242823894
Estonia,2012,12.290969899665551
Estonia,2013,9.262048192771083
Estonia,2014,11.164658634538151
Estonia,2015,15.369458128078817
Estonia,2016,13.064913722267873
Estonia,2017,14.133738601823708
Estonia,2018,16.087308003233627
Estonia,2019,28.120893561103816
Estonia,2020,48.848684210526315
Finland,2010,30.097087378640776
Finland,2011,33.02827482584346
Finland,2012,40.74761021543729
Finland,2013,36.108763031839956
Finland,2014,38.75534581920071
Finland,2015,44.660620245757755
Finland,2016,44.407126168224295
Finland,2017,46.89408610159392
Finland,2018,45.927407830808804
Finland,2019,46.62181924539339
Finland,2020,52.0422943221321
France,2010,13.624007249080542
France,2011,11.635530489954176
France,2012,15.03315228891867
France,2013,17.24694249284413
France,2014,16.607499249368583
France,2015,16.002230275996656
France,2016,17.72129240132462
France,2017,16.657675154654005
France,2018,19.731517982737966
France,2019,20.01166654882274
France,2020,23.761024182076813
Georgia,2010,92.88577154308616
Georgia,2011,78.2565130260521
Georgia,2012,75.50158394931363
Georgia,2013,82.97872340425532
Georgia,2014,81.2007874015748
Georgia,2015,78.88784165881245
Georgia,2016,81.4977973568282
Georgia,2017,81.43236074270558
Georgia,2018,83.30536912751678
Georgia,2019,76.98275862068965
Georgia,2020,74.73118279569893
Germany,2010,16.838498975409834
Germany,2011,20.496719929937047
Germany,2012,23.056464482019372
Germany,2013,24.13689297314426
Germany,2014,26.218243406726348
Germany,2015,29.472188831821654
Germany,2016,29.499043501251997
Germany,2017,33.48554975929165
Germany,2018,35.09767353647743
Germany,2019,40.0890757143572
Germany,2020,44.33240489369954
Greece,2010,18.351341930986404
Greece,2011,13.769217773272512
Greece,2012,16.674897119341566
Greece,2013,25.140056022408963
Greece,2014,24.190665342601786
Greece,2015,28.651360216091064
Greece,2016,27.366292960852785
Greece,2017,25.009061254077565
Greece,2018,30.30985915492958
Greece,2019,33.141210374639776
Greece,2020,36.441029900332225
Hungary,2010,8.08134867540808
Hungary,2011,7.523598001110493
Hungary,2012,7.625649913344888
Hungary,2013,9.190082644628099
Hungary,2014,10.766609880749575
Hungary,2015,10.630571145592606
Hungary,2016,10.216912920465262
Hungary,2017,10.600060919890344
Hungary,2018,11.807077983088005
Hungary,2019,13.74670956420006
Hungary,2020,15.871190339275444
Iceland,2010,100.0
Iceland,2011,100.0
Iceland,2012,100.0
Iceland,2013,100.0
Iceland,2014,100.0
Iceland,2015,100.0
Iceland,2016,100.0
Iceland,2017,100.0
Iceland,2018,100.0
Iceland,2019,100.0
Iceland,2020,100.0
Ireland,2010,13.210227272727273
Ireland,2011,19.992636229749632
Ireland,2012,19.351271654994473
Ireland,2013,22.017989831834182
Ireland,2014,24.757845796203018
Ireland,2015,27.971530249110323
Ireland,2016,24.875951042011245
Ireland,2017,28.962818003913892
Ireland,2018,33.00970873786408
Ireland,2019,38.41145833333333
Ireland,2020,42.1019705974351
Israel,2010,0.2391118701964134
Israel,2011,0.43624161073825507
Israel,2012,0.6983018568481194
Israel,2013,0.9455493968046951
Israel,2014,1.5773907328294448
Israel,2015,1.9458281444582812
Israel,2016,2.5212591376995377
Israel,2017,2.64792899408284
Israel,2018,2.6862204152751565
Israel,2019,4.043502509760179
Israel,2020,5.3903086161150675
Italy,2010,25.840018797623443
Italy,2011,27.67732034429839
Italy,2012,31.10496492174851
Italy,2013,39.01487442087296
Italy,2014,43.49769319492503
Italy,2015,38.75778608293291
Italy,2016,37.60793871866295
Italy,2017,35.41744792554461
Italy,2018,39.81001426632799
Italy,2019,39.75630684743435
Italy,2020,42.03977415758622
Latvia,2010,54.90196078431372
Latvia,2011,50.57471264367817
Latvia,2012,66.61264181523502
Latvia,2013,56.935483870967744
Latvia,2014,54.474708171206224
Latvia,2015,50.18050541516246
Latvia,2016,54.20560747663551
Latvia,2017,72.50996015936255
Latvia,2018,51.9345238095238
Latvia,2019,49.53416149068323
Latvia,2020,63.63636363636363
Lithuania,2010,19.157894736842106
Lithuania,2011,27.819548872180448
Lithuania,2012,27.44186046511628
Lithuania,2013,38.442211055276374
Lithuania,2014,43.64161849710983
Lithuania,2015,42.0
Lithuania,2016,61.58357771260997
Lithuania,2017,75.5223880597015
Lithuania,2018,80.0
Lithuania,2019,78.6624203821656
Lithuania,2020,56.73289183222958
Luxembourg,2010,8.333333333333332
Luxembourg,2011,9.090909090909092
Luxembourg,2012,11.231884057971014
Luxembourg,2013,19.565217391304348
Luxembourg,2014,20.94240837696335
Luxembourg,2015,32.08955223880597
Luxembourg,2016,58.22784810126582
Luxembourg,2017,66.66666666666667
Luxembourg,2018,70.83333333333334
Luxembourg,2019,74.76635514018692
Luxembourg,2020,79.50819672131148
Malta,2010,0.0
Malta,2011,0.0
Malta,2012,1.3043478260869565
Malta,2013,1.7699115044247788
Malta,2014,3.5555555555555554
Malta,2015,7.6923076923076925
Malta,2016,16.27906976744186
Malta,2017,10.303030303030305
Malta,2018,10.152284263959393
Malta,2019,10.144927536231881
Malta,2020,11.627906976744185
Montenegro,2010,68.40796019900498
Montenegro,2011,45.28301886792453
Montenegro,2012,51.92982456140351
Montenegro,2013,63.45177664974619
Montenegro,2014,55.20504731861199
Montenegro,2015,49.666666666666664
Montenegro,2016,58.59872611464968
Montenegro,2017,45.16129032258064
Montenegro,2018,59.21052631578948
Montenegro,2019,56.268221574344025
Montenegro,2020,52.21238938053098
Netherlands,2010,9.394677189152883
Netherlands,2011,10.825059309375275
Netherlands,2012,12.098573784806444
Netherlands,2013,11.92118226600985
Netherlands,2014,11.286572369695794
Netherlands,2015,12.582720588235293
Netherlands,2016,12.984274795748044
Netherlands,2017,15.072639225181597
Netherlands,2018,16.634412385643913
Netherlands,2019,18.86745591522477
Netherlands,2020,26.671553058066618
The former Yugoslav Republic of Macedonia,2010,33.47107438016529
The former Yugoslav Republic of Macedonia,2011,21.153846153846153
The former Yugoslav Republic of Macedonia,2012,16.61341853035144
The former Yugoslav Republic of Macedonia,2013,26.108374384236456
The former Yugoslav Republic of Macedonia,2014,23.977695167286246
The former Yugoslav Republic of Macedonia,2015,35.929203539823
The former Yugoslav Republic of Macedonia,2016,36.767317939609235
The former Yugoslav Republic of Macedonia,2017,23.03571428571429
The former Yugoslav Republic of Macedonia,2018,34.93761140819965
The former Yugoslav Republic of Macedonia,2019,22.82793867120954
The former Yugoslav Republic of Macedonia,2020,27.715355805243448
Norway,2010,95.84044195304249
Norway,2011,96.58505665161239
Norway,2012,97.9870351415899
Norway,2013,97.86148420499737
Norway,2014,97.87143465304385
Norway,2015,97.90996784565917
Norway,2016,97.99500438803753
Norway,2017,98.02573950542416
Norway,2018,97.97288042733871
Norway,2019,97.93768213405066
Norway,2020,98.57411368202736
Poland,2010,6.929936305732484
Poland,2011,8.054720569290229
Poland,2012,10.443605766256264
Poland,2013,10.408150814471355
Poland,2014,12.53314812476323
Poland,2015,13.815148563078422
Poland,2016,13.733517972183753
Poland,2017,14.199964691343494
Poland,2018,12.755914803233228
Poland,2019,15.615799803729145
Poland,2020,17.96487208858343
Portugal,2010,52.80312907431552
Portugal,2011,46.47262914417888
Portugal,2012,42.50603467193329
Portugal,2013,58.32178903621611
Portugal,2014,60.758275596612776
Portugal,2015,47.53267017749172
Portugal,2016,54.625401657365124
Portugal,2017,39.13344887348353
Portugal,2018,50.35096730011984
Portugal,2019,52.98666151169533
Portugal,2020,58.42064415987582
Romania,2010,33.49282296650718
Romania,2011,26.322580645161292
Romania,2012,25.399795848928207
Romania,2013,34.415029888983774
Romania,2014,41.60147261849978
Romania,2015,39.729975728155345
Romania,2016,41.755689735253135
Romania,2017,37.98279906176701
Romania,2018,40.64245810055866
Romania,2019,41.61879013180128
Romania,2020,44.24667385832434
Serbia,2010,31.77445216461785
Serbia,2011,22.803787480273538
Serbia,2012,25.697706548770384
Serbia,2013,26.051491205709915
Serbia,2014,32.98444976076555
Serbia,2015,26.89545091779728
Serbia,2016,28.12742812742813
Serbia,2017,25.49396267837541
Serbia,2018,29.72457049359149
Serbia,2019,28.513293543136193
Serbia,2020,27.42412033306473
Slovakia,2010,21.699489423778264
Slovakia,2011,17.72421127259837
Slovakia,2012,19.36968838526912
Slovakia,2013,22.362869198312236
Slovakia,2014,23.076923076923077
Slovakia,2015,22.79577995478523
Slovakia,2016,24.85007496251874
Slovakia,2017,23.96482227922316
Slovakia,2018,21.866767030485512
Slovakia,2019,23.589925505498407
Slovakia,2020,24.02665731322343
Slovenia,2010,29.212792127921283
Slovenia,2011,24.371859296482416
Slovenia,2012,27.845659163987136
Slovenia,2013,32.34177215189874
Slovenia,2014,38.48396501457726
Slovenia,2015,29.39189189189189
Slovenia,2016,31.176833025261857
Slovenia,2017,27.663551401869157
Slovenia,2018,32.382133995037215
Slovenia,2019,31.71806167400881
Slovenia,2020,33.03730017761989
Spain,2010,32.792218681871546
Spain,2011,30.040841541682394
Spain,2012,29.60479286516663
Spain,2013,39.585035705403776
Spain,2014,40.10329526442133
Spain,2015,34.98990918264379
Spain,2016,38.581806113794755
Spain,2017,32.220593624038116
Spain,2018,38.20803295571575
Spain,2019,37.28081509099634
Spain,2020,43.810880529780924
Sweden,2010,55.298080161670605
Sweden,2011,55.95554964067075
Sweden,2012,59.06387069638887
Sweden,2013,54.03515650526042
Sweden,2014,55.83848909150113
Sweden,2015,63.27160493827161
Sweden,2016,57.17493104111874
Sweden,2017,57.882238324301284
Sweden,2018,55.79701273261508
Sweden,2019,58.745992162451024
Sweden,2020,68.47182367665913
Switzerland,2010,54.03706688154715
Switzerland,2011,51.182432432432435
Switzerland,2012,56.59965716066697
Switzerland,2013,56.19592088998764
Switzerland,2014,54.898392478010315
Switzerland,2015,59.09895414320193
Switzerland,2016,58.38260869565217
Switzerland,2017,59.07806428823738
Switzerland,2018,55.11482254697286
Switzerland,2019,56.6015037593985
Switzerland,2020,60.51928783382788
Turkey,2010,26.400075807827157
Turkey,2011,25.335833914863926
Turkey,2012,27.24120644999582
Turkey,2013,28.857297702922413
Turkey,2014,20.912487083697638
Turkey,2015,32.01423705461365
Turkey,2016,32.97161021593774
Turkey,2017,29.43021961339945
Turkey,2018,32.176002106233135
Turkey,2019,43.68043858780013
Turkey,2020,42.0208237836422
Ukraine,2010,7.091409808283021
Ukraine,2011,5.745062836624776
Ukraine,2012,5.661423674127849
Ukraine,2013,7.800320066078159
Ukraine,2014,5.588526211671613
Ukraine,2015,4.392477109626331
Ukraine,2016,5.679724917106717
Ukraine,2017,7.0457194663903655
Ukraine,2018,8.228528092017948
Ukraine,2019,7.775448709550635
Ukraine,2020,11.844057736409011
United Kingdom,2010,6.9092924441160175
United Kingdom,2011,9.642250588944284
United Kingdom,2012,11.427304718889413
United Kingdom,2013,14.972705273228657
United Kingdom,2014,19.247635810387518
United Kingdom,2015,24.62277091906721
United Kingdom,2016,24.678839062685853
United Kingdom,2017,29.49865711727842
United Kingdom,2018,33.29198184568835
United Kingdom,2019,37.456863049898956
United Kingdom,2020,42.86039626508768
Russia,2010,3.34
Russia,2011,3.23
Russia,2012,3.24
Russia,2013,3.61
Russia,2014,3.3
Russia,2015,3.2
Russia,2016,3.36
Russia,2017,3.25
Russia,2018,3.18
Russia,2019,3.22
Russia,2020,3.72
Republic of Moldova,2010,20.01
Republic of Moldova,2011,20.37
Republic of Moldova,2012,22.14
Republic of Moldova,2013,23.82
Republic of Moldova,2014,24.31
Republic of Moldova,2015,24.73
Republic of Moldova,2016,25.3
Republic of Moldova,2017,26.07
Republic of Moldova,2018,25.75
Republic of Moldova,2019,22.04
Republic of Moldova,2020,23.66
